상권_구분_코드,상권_구분_코드_명,상권_코드,상권_코드_명,엑스좌표_값,와이좌표_값,자치구_코드,자치구_코드_명,행정동_코드,행정동_코드_명,영역_면적,TRDAR_CD,총_유동인구_수,야간_유동인구_17_24,야간_비율,주말_평균,주중_평균,주말_프리미엄,남성_유동인구_수,여성_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,총_매출,총_상주인구,평균_소득,총_인구,인당_매출효율,야간_매출효율,주류친화_지수,타겟연령_비율,성비_균형도,야간_유동인구_17_24_점수,총_매출_점수,주류친화_지수_점수,한식_월매출,한식_월건수,한식_주중매출,한식_주말매출,한식_월요일,한식_화요일,한식_수요일,한식_목요일,한식_금요일,한식_토요일,한식_일요일,한식_점포수,T1_야간유동인구,T2_한식매출밀도,C1_경쟁밀도,C2_상권활성도,E1_주류친화지수,T1_점수,T2_점수,C1_점수,C2_점수,E1_점수,곱창집_적합도_점수,T1_점수_v2,T2_한식매출밀도_v2,T2_점수_v2,C1_점수_v2,C2_점수_v2,E1_점수_v2,곱창집_적합도_v2
R,전통시장,3130325,명일전통시장,212839,449976,11740,강동구,11740530,명일1동,27547,3130325,322930,105931,0.3280308425974669,48421.0,45216.8,1.0708630420551652,143555,179374,34456,41788,55290,3450464201.0,83924.0,3593165.0,406854.0,8480.841287046458,32572.752083903673,0.2251637223805462,0.407314278636237,0.8890812250332889,2.0,3.0,5.0,85233609.0,3379.0,54549811.0,30683798.0,9918719.0,9199148.0,9747575.0,10322483.0,15361886.0,21435292.0,9248506.0,1.0,105931,804.6068138050825,0.5,3450464201.0,0.1845139497766319,4.201452031594875,0.0001789857031953,0.0,0.3311571452489803,43.74490866234598,5.684644793926206,2.259983255186825,804.6144093796905,0.2812915256213634,26.666666666666664,0.32991265787659263,53.50359392576778,11.481497482552989
R,전통시장,3130290,영림시장,194966,442472,11620,관악구,11620595,청룡동,72197,3130290,446546,147030,0.329260591294066,63862.5,63764.0,1.001544758798068,211414,235132,116064,86213,56685,23130706045.0,88268.0,2479948.0,534814.0,43250.00101904587,157319.6357546079,0.1981742582956667,0.5799223372284155,0.9468856511983088,3.0,5.0,4.0,2158644537.0,81393.0,1430460081.0,728184456.0,250427553.0,241288072.0,282426787.0,278062360.0,378255309.0,404998070.0,323186386.0,1.0,147030,14681.560602866062,0.5,23130706045.0,0.1676117432248119,5.831527052566241,0.003265929896967,0.0,2.2199617602859263,39.73770225493583,6.057039087780586,3.923093638630098,14681.660457049582,5.208931065438774,26.666666666666664,2.2187408569486795,48.602453361213335,13.005550655945692
R,전통시장,3130132,삼양골목시장(삼양시장),201680,458392,11305,강북구,11305534,삼양동,47564,3130132,176769,54773,0.3098563662180586,26867.0,24607.2,1.0918349101076108,86703,90066,19620,22901,29128,4819661052.0,30240.0,2193675.0,207009.0,23282.37444748779,87993.37359648001,0.2226477837738795,0.405325594419836,0.980975170985863,2.0,4.0,5.0,986030102.0,30608.0,741848658.0,244181444.0,138448296.0,137996091.0,117632794.0,126886470.0,220885007.0,174505598.0,69675846.0,1.0,54773,18001.791032241574,0.5,4819661052.0,0.101989464167951,2.172415365913152,0.0040045189419218,0.0,0.4625653541298739,24.179850899889317,3.140095632617838,0.18982580619315292,18002.119694009823,6.388002329610633,26.666666666666664,0.4613225075496524,29.573931088808596,10.013873142607245
R,전통시장,3130133,우이골목시장(우이시장),201751,460755,11305,강북구,11305625,수유2동,54278,3130133,329390,100704,0.3057287713652509,51035.0,45463.8,1.1225414505606657,147560,181830,38354,37449,50856,4825034289.0,70060.0,2243877.0,399450.0,12079.194615095756,47913.03512273594,0.2324538430434168,0.3845259418925893,0.8959591973041076,2.0,4.0,5.0,1325578655.0,33878.0,801530919.0,524047736.0,158295292.0,136421117.0,166626709.0,152816300.0,187371501.0,288729726.0,235318010.0,1.0,100704,13162.987488208131,0.5,4825034289.0,0.1998874658106268,3.9941379330859736,0.0029281215760366,0.0,0.463081048750079,47.38969029289667,6.00740459692198,2.048467695823873,13163.118197886877,4.6697075986124,26.666666666666664,0.46183820860893554,57.96145940167674,12.98072221319261
R,전통시장,3130223,고척근린시장,186721,444751,11530,구로구,11530730,고척2동,29145,3130223,255617,80502,0.314932105454645,38846.0,35585.4,1.0916274651964006,124889,130727,23926,30206,37406,12473860653.0,24324.0,2305378.0,279941.0,44558.89152714322,154950.94100767685,0.2256102493513473,0.3581060727572892,0.9771611434294276,2.0,4.0,5.0,1225892482.0,59767.0,885036746.0,340855736.0,161620524.0,127233702.0,202990275.0,177343208.0,215849037.0,166402990.0,174452746.0,1.0,80502,15227.910537495498,0.5,12473860653.0,0.1212898733583651,3.192883022415068,0.0033874660629086,0.0,1.1971745954888873,28.75562762681242,4.013850725244823,1.2309744243009406,15228.09969938635,5.40296772189987,26.666666666666664,1.1959409214032821,35.17047956936495,10.74980668624557
R,전통시장,3130225,개봉중앙시장,187149,443562,11530,구로구,11530750,개봉2동,79713,3130225,448209,140743,0.3140119899421921,70246.5,61542.8,1.141425154526606,203456,244754,47253,59280,68583,10160411466.0,132124.0,2406480.0,580333.0,17507.898854623123,72191.2383990678,0.2449772557759576,0.3907016592705635,0.9078599492647405,3.0,4.0,5.0,1348125549.0,35372.0,809793666.0,538331883.0,181606835.0,134733168.0,134799583.0,144559225.0,214094855.0,311420893.0,226910990.0,1.0,140743,9578.564976126869,0.5,10160411466.0,0.2087473585954567,5.58217106685255,0.0021307627010351,0.0,0.975142085131741,49.490210069855266,6.770476330486312,3.668684164416422,9578.633033259202,3.3968826208445932,26.666666666666664,0.9739056386987556,60.53056656482742,13.482301740156963
R,전통시장,3130228,구로시장,189872,443283,11530,구로구,11530550,구로4동,13770,3130228,1046207,309149,0.2954950597730659,144335.0,151507.6,0.952658480498668,533552,512655,106364,163883,203372,1505596838.0,9568.0,2087363.0,1055775.0,1426.058429116052,4870.13329494839,0.1583604280633067,0.4527010429102462,0.9800259413290104,4.0,2.0,2.0,322610661.0,11064.0,229662325.0,92948336.0,44700045.0,42018973.0,41755236.0,56879640.0,44308431.0,39350446.0,53597890.0,1.0,309149,1043.5408733624454,0.5,1505596838.0,0.1195918748333672,12.261516403276888,0.0002321368571918,0.0,0.144499151918015,28.353062994302224,6.535494127415289,10.483394187388946,1043.544248889694,0.36613379827559395,26.666666666666664,0.14325233389234593,34.67811016044155,12.059183905246924
R,전통시장,3130053,백학시장,201732,451624,11140,중구,11140650,신당5동,42212,3130053,628569,214596,0.3414040463338154,90662.0,89449.2,1.0135585337823032,310692,317878,94518,103607,88206,15518570154.0,44320.0,2324737.0,672889.0,23062.6004497027,72315.28152435274,0.2102658413132105,0.4555283509049921,0.988567683102412,4.0,5.0,4.0,2505440600.0,47380.0,1626398542.0,879042058.0,287638284.0,248282338.0,297943331.0,348324608.0,444209981.0,499290352.0,379751706.0,1.0,214596,11675.096110383647,0.5,15518570154.0,0.1845230615124556,8.511340402451914,0.0025971384424501,0.0,1.48938956939628,43.74706888953664,7.152166729709293,6.657216516747039,11675.150515387053,4.141340944710018,26.666666666666664,1.4881595439719277,53.5062360599721,13.93968106212795
R,전통시장,3130054,황학동주방가구거리상점가,201822,452134,11140,중구,11140670,황학동,72884,3130054,1332379,354823,0.2663078598506881,204159.0,184812.6,1.104681174335516,612456,719924,201059,319772,238471,5188498487.0,53484.0,2474959.0,1385863.0,3743.875467488489,14622.779490055604,0.2016571856446192,0.5698843947555463,0.9193412685129382,4.0,4.0,4.0,289004566.0,7161.0,181980842.0,107023724.0,38793255.0,32105578.0,35497465.0,32075367.0,43509177.0,54690442.0,52333282.0,1.0,354823,814.5011780488355,0.5,5188498487.0,0.1566166927073718,14.073045795910437,0.0001811867158035,0.0,0.4979644033361103,37.130975331548456,8.009751229107344,12.331636325966237,814.503473562875,0.28480306139875133,26.666666666666664,0.4967219987563022,45.414213533760254,13.719954649662363
R,전통시장,3130055,"황학시장(서울중앙시장, 신중앙시장)",201889,451973,11140,중구,11140670,황학동,39709,3130055,1045720,307472,0.2940289943770799,146591.0,150507.6,0.9739773938326036,492777,552943,179391,212210,154166,4140148824.0,63284.0,2591320.0,1109004.0,3733.213607885995,13465.12470729042,0.1660083541592894,0.521905481390812,0.942464522051792,4.0,3.0,2.0,1383011944.0,33511.0,839064231.0,543947713.0,112247164.0,138387324.0,136352027.0,185527848.0,266549868.0,304491330.0,239456383.0,1.0,307472,4497.994763767875,0.5,4140148824.0,0.1906126376239921,12.19500296474629,0.001000584064103,0.0,0.3973493957898226,45.190796863026186,8.237433131111004,10.415532776818509,4498.009392725191,1.5927895990281666,26.666666666666664,0.396105734908619,55.27203323028177,14.442809749400396
R,전통시장,3130056,용산용문시장,196483,448549,11170,용산구,11170590,용문동,40246,3130056,477799,149548,0.3129935391241923,66515.5,68954.0,0.964635844185979,245445,232353,67347,97524,80041,23487286935.0,29252.0,2441702.0,507051.0,46321.3501896259,157055.17248642576,0.173650461148907,0.5125837433732595,0.9725993566332286,3.0,5.0,2.0,3538018985.0,100932.0,2482558785.0,1055460200.0,472974669.0,440804743.0,488117867.0,487889266.0,592772240.0,589045552.0,466414648.0,1.0,149548,23657.924727012552,0.5,23487286935.0,0.1330689666548717,5.931396365756486,0.0052627323318109,0.0,2.254184491693636,31.548236863158564,5.2736859528798,4.024986919379268,23658.082923208603,8.396394313626068,26.666666666666664,2.2529640156690363,38.58606864006905,12.83647945391089
R,전통시장,3130135,수유중앙골목시장(수유중앙시장),201872,460117,11305,강북구,11305635,수유3동,30758,3130135,254404,80479,0.3163432964890489,38685.0,35406.8,1.0925867347515166,119127,135277,57023,38279,34486,2199925032.0,41128.0,2166798.0,295532.0,7443.948648538906,27335.392238969172,0.2268406717940359,0.5101649345136082,0.9365182937375198,2.0,3.0,5.0,567068406.0,23203.0,404963963.0,162104443.0,64551207.0,75930627.0,85709512.0,81971278.0,96801339.0,88392600.0,73711843.0,1.0,80479,7046.078603379721,0.5,2199925032.0,0.1266296687562737,3.1919707927870395,0.0015674082197137,0.0,0.211137067629264,30.02159620122049,3.991813270157479,1.2300437072805945,7046.166155146063,2.4976217926394697,26.666666666666664,0.2098910816594536,36.718862483209584,10.030121804247255
R,전통시장,3130137,"수유전통시장(수유시장, 수유골목시장)",201998,459062,11305,강북구,11305615,수유1동,37023,3130137,205598,59097,0.2874395665327484,30783.5,28806.0,1.0686488925918212,93818,111780,31443,25142,28485,36689982726.0,23236.0,2175111.0,228834.0,160334.49018065498,620843.4053505254,0.1999232969563775,0.4137686164262298,0.9126353369196198,2.0,5.0,4.0,1742162333.0,95659.0,1091476902.0,650685431.0,223083176.0,232217503.0,177755250.0,212859484.0,245561489.0,368850205.0,281835226.0,1.0,59097,29479.20966868591,0.5,36689982726.0,0.1713566529098797,2.3439145359825013,0.0065576838048896,0.0,3.5213087952789808,40.62555237315371,5.2955653383531915,0.3648006060181781,29479.70849620116,10.463611807965014,26.666666666666664,3.520104140850678,49.68836653543746,13.555528741801389
