상권_코드,상권명,총_유동인구,야간_17_24시,야간_18_01시,야간_19_02시,최적야간구간_17-24시,최고요일_수,주말_평균,주중_평균
3120102,서교동(홍대),2187001,662855,623997.75,585140.5,662855,319609,286045.5,322982.2
3120101,합정역,1792045,596222,542423.25,488624.5,596222,262263,232470.0,265421.0
3120100,망원역,556050,181302,169584.41666666666,157866.8333333333,181302,80739,75455.5,81027.8
3120099,월드컵경기장역(월드컵경기장),8024,2506,2143.9166666666665,1781.8333333333333,2506,1152,1254.0,1103.6
3120098,DMC(디지털미디어시티),537053,142441,124976.91666666669,107512.83333333331,142441,85439,43582.5,89977.4
3120097,충정로역,548286,145314,137904.08333333334,130494.16666666666,145314,81874,61132.5,85203.6
3120096,"이화여대(이대역, 이대)",1101788,329106,321669.75,314233.5,329106,159141,153533.0,158944.2
3120095,홍제역,1062515,371522,341637.1666666667,311752.3333333333,371522,150014,153275.0,151193.6
3120094,"신촌역(신촌역, 신촌로터리)",5472686,1896530,1710448.9166666667,1524367.8333333333,1896530,782410,780505.5,782334.4
3120093,연희동,546044,173822,164753.5,155685.0,173822,77951,78052.5,77987.4
3120092,불광역,453932,149962,138437.66666666666,126913.33333333331,149962,65284,66832.5,64053.0
3120091,본서부병원,726959,226500,221561.58333333337,216623.16666666663,226500,104635,103487.0,103997.2
3120090,연신내역,1945438,655314,622093.5833333334,588873.1666666666,655314,276991,281590.0,276451.4
3120089,구파발역,347819,101205,100355.66666666669,99506.33333333331,101205,51318,46480.0,50971.6
3120088,구산역,499882,176274,162692.5,149111.0,176274,71710,68998.0,72377.2
3120087,응암역,888649,296831,279216.4166666667,261601.8333333333,296831,123944,136129.5,123278.4
3120086,태릉입구역,487890,162903,151993.41666666666,141083.83333333334,162903,70907,69635.5,69724.2
3120085,은행사거리,515716,201505,174325.0,147145.0,201505,71687,79096.0,71504.6
3120084,공릉역,708512,237310,224771.33333333337,212232.66666666663,237310,99773,106640.5,99046.8
3120083,등나무근린공원,243499,75241,71579.91666666667,67918.83333333333,75241,33784,38160.0,33435.2
3120082,상계백병원,201852,63590,57713.833333333336,51837.666666666664,63590,29363,27634.0,29316.8
3120081,노원역,4305450,1476901,1321457.5,1166014.0,1476901,617972,607708.5,618007.0
3120080,마들역,94209,33408,29304.833333333332,25201.666666666668,33408,13143,14265.0,13136.4
3120079,창동역,475286,163671,143265.58333333334,122860.16666666666,163671,68164,66657.0,68394.4
3120078,미아사거리역,1207662,403078,366514.8333333333,329951.6666666667,403078,174098,170361.5,173387.6
3120077,미아역,1465012,448712,437069.1666666667,425426.3333333333,448712,208720,208349.0,209662.2
3120076,수유역,4472755,1533910,1424675.75,1315441.5,1533910,648188,610426.5,650380.4
3120075,월곡역,419207,133130,127692.25,122254.5,133130,59894,59895.5,59883.4
3120074,안암역,519290,170358,161549.91666666666,152741.8333333333,170358,77034,67254.0,76956.8
3120073,미아사거리,251171,78992,72945.58333333333,66899.16666666667,78992,35704,37396.0,35275.2
3120072,성신여대,3984290,1367191,1288876.9166666667,1210562.8333333333,1367191,571273,576400.0,566298.0
3120071,성북구청,550685,171589,161865.5,152142.0,171589,79708,75356.0,79995.0
3120070,한성대입구역,602487,218554,198201.58333333337,177849.16666666666,218554,87833,81246.0,87999.4
3120069,상봉역,1561204,517221,491719.3333333333,466217.6666666666,517221,222138,229810.0,220316.8
3120068,사가정역,312823,114833,105713.08333333331,96593.16666666666,114833,44847,44436.0,44790.2
3120067,장안동사거리,1437796,465950,448559.3333333333,431168.6666666666,465950,203050,212686.0,202485.2
3120066,장한평역(장한평),1466778,429282,413498.6666666667,397715.3333333333,429282,216382,184183.0,219682.4
3120065,회기역,1087720,367672,341249.9166666667,314827.8333333333,367672,155871,154264.5,155838.6
3120064,경희대학교(경희대),1027290,303147,290087.3333333333,277027.6666666666,303147,152739,127325.5,154527.8
3120063,청량리역(청량리),630550,189980,168364.66666666666,146749.33333333334,189980,91379,85833.5,91776.6
3120062,신설동역,1784270,486046,461013.75,435981.5,486046,263018,221242.0,268357.2
3120061,올림픽대교북단,501274,172647,161962.75,151278.5,172647,70179,74659.5,70390.8
3120060,강변역(테크노마트),260359,80866,75706.75,70547.5,80866,37675,35771.0,37763.6
3120059,구삼강변맛길,1110823,349966,339992.0833333333,330018.1666666666,349966,160225,157384.5,159211.0
3120058,구의사거리,685291,207309,207253.25,207197.5,207309,96850,99836.5,97123.6
3120057,아차산역,1275022,412791,398844.5833333333,384898.1666666666,412791,180784,191809.0,178281.0
3120056,구의역,1416117,474059,456093.25,438127.5,474059,204237,195593.5,204985.6
3120055,군자역,2233715,735911,701682.0,667453.0,735911,322668,309739.0,322847.0
3120054,어린이대공원역,1424049,429489,428106.6666666667,426724.3333333333,429489,204638,206165.5,202343.8
3120053,건대입구역(건대),2417025,940324,843973.4166666666,747622.8333333334,940324,344677,355055.5,341383.2
3120052,성수역,1311262,368478,328384.5833333333,288291.1666666667,368478,202890,127471.5,211263.6
3120051,뚝섬역,2081791,608190,544295.75,480401.5,608190,318438,221659.5,327694.4
3120050,서울숲역,257203,69464,67129.41666666667,64794.83333333333,69464,38224,32316.0,38513.8
3120049,왕십리역(왕십리),2013013,641713,613082.9166666666,584452.8333333333,641713,292311,274774.0,292693.6
3120048,금호역,839448,288546,270050.9166666667,251555.8333333333,288546,115693,130824.0,115560.0
3120047,한남오거리,636258,193550,185623.66666666663,177697.3333333333,193550,92566,83699.0,93771.4
3120046,이태원(이태원역),1261322,429499,397873.0833333333,366247.1666666666,429499,178356,188059.5,177040.8
3120045,남영동 먹자골목,147184,41320,39162.75,37005.5,41320,21775,17687.5,22362.0
3120044,삼각지역,572854,165054,156977.08333333334,148900.16666666666,165054,84156,71634.0,85917.4
3120043,서울역,780401,169055,143956.08333333334,118857.16666666669,169055,126184,51081.5,135648.2
3120042,"숙대입구역(남영역, 남영동)",302606,93368,81847.08333333333,70326.16666666667,93368,44796,34495.5,46723.0
3120041,신용산역(용산역),1862060,503199,493969.0,484739.0,503199,279091,216433.0,285839.2
3120040,용산전자상가(용산역),1199799,344600,319999.6666666667,295399.3333333333,344600,175309,146966.5,181173.0
3120039,신당역,2535966,796783,762486.0833333334,728189.1666666666,796783,383032,306238.5,384697.6
3120038,약수역,1114861,347024,332274.5833333333,317525.1666666666,347024,160274,149839.0,163036.4
3120037,동대문역사문화공원역,3263857,950360,887328.0833333334,824296.1666666666,950360,498871,363048.5,507552.2
3120036,장충동족발거리(남소영길),238484,63382,59441.916666666664,55501.83333333333,63382,36401,26992.5,36900.0
3120035,퇴계로5가,583132,152341,143261.33333333334,134181.66666666666,152341,89958,58741.5,93129.4
3120034,중구청(퇴계로4가),855163,223392,209764.66666666663,196137.3333333333,223392,131780,82989.0,137837.2
3120033,을지로4가역,650031,160382,139059.91666666666,117737.83333333331,160382,103741,51708.5,109322.6
3120032,충무로역,1742262,458807,425276.9166666667,391746.8333333333,458807,268465,169603.5,280611.2
3120031,을지로3가역,1998443,523491,448047.8333333333,372604.6666666667,523491,317423,157475.0,336698.8
3120030,중부경찰서(영화인의거리),1168770,304292,267595.9166666667,230899.8333333333,304292,182362,103602.0,192313.2
3120029,을지로2가,148218,35085,29801.333333333332,24517.666666666668,35085,23104,13048.0,24424.6
3120028,명동(명동거리),1381471,328071,278714.5,229358.0,328071,214957,123973.0,226705.2
3120027,명동역(명동재미로),664567,167305,154284.91666666666,141264.83333333334,167305,100037,75559.0,102690.2
3120026,을지로입구역,676749,162198,133614.08333333334,105030.16666666669,162198,110678,41946.0,118571.6
3120025,롯데백화점(시청광장 지하쇼핑센터),93738,22406,18478.0,14550.0,22406,15070,6877.0,15996.6
3120024,회현역,686997,162269,151596.16666666666,140923.33333333334,162269,106088,73993.5,107802.0
3120023,서울시청,442607,105818,86740.25,67662.5,105818,72239,28364.0,77175.8
3120022,북창동(시청역_6번),939579,225478,188731.75,151985.5,225478,145742,89923.5,151946.8
3120021,시청역_8번,418287,79060,67218.66666666667,55377.33333333333,79060,68758,20008.0,75654.2
3120020,시청역_1번,60372,12842,11074.5,9307.0,12842,9808,3933.0,10501.2
3120019,경찰청앞교차로,369176,78817,73915.25,69013.5,78817,58916,27028.0,63023.6
3120018,중림동,466584,124194,115680.41666666669,107166.83333333331,124194,70094,51496.5,72718.0
3120017,동묘앞역(동묘),721479,195304,189978.66666666663,184653.3333333333,195304,105983,95694.5,106018.2
3120016,동대문역,1152297,332412,319446.3333333333,306480.6666666666,332412,172822,145298.0,172340.2
3120015,종로6가,615355,162626,144250.41666666666,125874.83333333331,162626,95265,62634.5,98017.4
3120014,종로5가역,1056757,265780,241592.5,217405.0,265780,164065,105901.5,168991.2
3120013,이화사거리,798214,199529,188481.16666666663,177433.3333333333,199529,123463,80898.5,127283.0
3120012,대학로(혜화역),3021496,1100470,989564.0,878658.0,1100470,441410,439431.0,428526.4
3120011,종로4가,606762,162078,140013.75,117949.5,162078,95446,59172.0,97683.6
